price,beds,property_type,url
275000,1,End of Terrace,https://www.rightmove.co.uk/properties/162826130#/?channel=RES_BUY
485000,2,House,https://www.rightmove.co.uk/properties/162206690#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/161264762#/?channel=RES_BUY
575000,2,End of Terrace,https://www.rightmove.co.uk/properties/160771010#/?channel=RES_BUY
625000,3,Town House,https://www.rightmove.co.uk/properties/162833348#/?channel=RES_BUY
650000,3,Town House,https://www.rightmove.co.uk/properties/162626318#/?channel=RES_BUY
670000,2,Mews,https://www.rightmove.co.uk/properties/161171549#/?channel=RES_BUY
675000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162123305#/?channel=RES_BUY
725000,3,End of Terrace,https://www.rightmove.co.uk/properties/162860633#/?channel=RES_BUY
725000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161161919#/?channel=RES_BUY
725000,4,Terraced,https://www.rightmove.co.uk/properties/162917501#/?channel=RES_BUY
750000,4,Semi-Detached,https://www.rightmove.co.uk/properties/159781652#/?channel=RES_BUY
750000,2,Semi-Detached,https://www.rightmove.co.uk/properties/160490219#/?channel=RES_BUY
775000,3,House,https://www.rightmove.co.uk/properties/162653252#/?channel=RES_BUY
775000,2,Terraced,https://www.rightmove.co.uk/properties/161515697#/?channel=RES_BUY
795000,3,Terraced,https://www.rightmove.co.uk/properties/161394830#/?channel=RES_BUY
800000,4,Terraced,https://www.rightmove.co.uk/properties/151221320#/?channel=RES_BUY
800000,3,House,https://www.rightmove.co.uk/properties/161458844#/?channel=RES_BUY
800000,4,Semi-Detached,https://www.rightmove.co.uk/properties/153413243#/?channel=RES_BUY
825000,3,End of Terrace,https://www.rightmove.co.uk/properties/161367977#/?channel=RES_BUY
850000,2,Semi-Detached,https://www.rightmove.co.uk/properties/153111959#/?channel=RES_BUY
850000,5,Semi-Detached,https://www.rightmove.co.uk/properties/162724079#/?channel=RES_BUY
860000,3,Terraced,https://www.rightmove.co.uk/properties/161004689#/?channel=RES_BUY
860000,3,Terraced,https://www.rightmove.co.uk/properties/161348834#/?channel=RES_BUY
865000,4,End of Terrace,https://www.rightmove.co.uk/properties/162539261#/?channel=RES_BUY
900000,4,End of Terrace,https://www.rightmove.co.uk/properties/156813728#/?channel=RES_BUY
925000,4,Semi-Detached,https://www.rightmove.co.uk/properties/158207114#/?channel=RES_BUY
950000,4,Terraced,https://www.rightmove.co.uk/properties/161748620#/?channel=RES_BUY
950000,3,End of Terrace,https://www.rightmove.co.uk/properties/159913655#/?channel=RES_BUY
950000,3,Terraced,https://www.rightmove.co.uk/properties/160774532#/?channel=RES_BUY
950000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162114455#/?channel=RES_BUY
955000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159174686#/?channel=RES_BUY
975000,4,Semi-Detached,https://www.rightmove.co.uk/properties/161333654#/?channel=RES_BUY
975000,3,House,https://www.rightmove.co.uk/properties/162595376#/?channel=RES_BUY
975000,5,Semi-Detached,https://www.rightmove.co.uk/properties/158413250#/?channel=RES_BUY
1050000,3,Terraced,https://www.rightmove.co.uk/properties/162241214#/?channel=RES_BUY
1050000,5,Semi-Detached,https://www.rightmove.co.uk/properties/162716189#/?channel=RES_BUY
1100000,4,Terraced,https://www.rightmove.co.uk/properties/154443782#/?channel=RES_BUY
1100000,4,End of Terrace,https://www.rightmove.co.uk/properties/161784989#/?channel=RES_BUY
1100000,4,Terraced,https://www.rightmove.co.uk/properties/159554009#/?channel=RES_BUY
1150000,4,Detached,https://www.rightmove.co.uk/properties/156867809#/?channel=RES_BUY
1150000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160801013#/?channel=RES_BUY
1250000,2,Detached,https://www.rightmove.co.uk/properties/159211775#/?channel=RES_BUY
1250000,4,Semi-Detached,https://www.rightmove.co.uk/properties/161921228#/?channel=RES_BUY
1250000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162734591#/?channel=RES_BUY
1250000,5,Detached,https://www.rightmove.co.uk/properties/150781688#/?channel=RES_BUY
1300000,6,House,https://www.rightmove.co.uk/properties/162897620#/?channel=RES_BUY
1300000,6,Semi-Detached,https://www.rightmove.co.uk/properties/154392605#/?channel=RES_BUY
1450000,4,Semi-Detached,https://www.rightmove.co.uk/properties/156946091#/?channel=RES_BUY
1575000,4,Detached,https://www.rightmove.co.uk/properties/160093976#/?channel=RES_BUY
1650000,6,Semi-Detached,https://www.rightmove.co.uk/properties/158396267#/?channel=RES_BUY
1750000,5,Detached,https://www.rightmove.co.uk/properties/160733915#/?channel=RES_BUY
1800000,4,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/162529025#/?channel=RES_BUY
1950000,6,House,https://www.rightmove.co.uk/properties/162781694#/?channel=RES_BUY
2000000,6,House,https://www.rightmove.co.uk/properties/141128162#/?channel=RES_BUY
2000000,6,Detached,https://www.rightmove.co.uk/properties/152965721#/?channel=RES_BUY
2000000,4,Detached,https://www.rightmove.co.uk/properties/159072635#/?channel=RES_BUY
2000000,6,Semi-Detached,https://www.rightmove.co.uk/properties/154978304#/?channel=RES_BUY
2000000,5,Semi-Detached,https://www.rightmove.co.uk/properties/160530215#/?channel=RES_BUY
2200000,6,Semi-Detached,https://www.rightmove.co.uk/properties/162984056#/?channel=RES_BUY
2250000,4,Detached,https://www.rightmove.co.uk/properties/154590740#/?channel=RES_BUY
2650000,7,Detached,https://www.rightmove.co.uk/properties/162828314#/?channel=RES_BUY
4000000,7,Detached,https://www.rightmove.co.uk/properties/151436453#/?channel=RES_BUY
